round,alive_sensors,alive_gateways,avg_energy_sensors,avg_energy_gateways,firstCHFailureRound
428,600,60,1.86655,8.80048,-1
429,600,60,1.86624,8.79769,-1
430,600,60,1.86593,8.79489,-1
431,600,60,1.86562,8.79209,-1
432,600,60,1.86531,8.7893,-1
433,600,60,1.865,8.7865,-1
434,600,60,1.86469,8.78371,-1
435,600,60,1.86437,8.78091,-1
436,600,60,1.86406,8.77811,-1
437,600,60,1.86375,8.77532,-1
438,600,60,1.86344,8.77252,-1
439,600,60,1.86313,8.76973,-1
440,600,60,1.86282,8.76693,-1
441,600,60,1.86251,8.76413,-1
442,600,60,1.8622,8.76134,-1
443,600,60,1.86189,8.75854,-1
444,600,60,1.86158,8.75574,-1
445,600,60,1.86126,8.75295,-1
446,600,60,1.86095,8.75015,-1
447,600,60,1.86064,8.74736,-1
448,600,60,1.86033,8.74456,-1
449,600,60,1.86002,8.74176,-1
450,600,60,1.85971,8.73897,-1
451,600,60,1.8594,8.73617,-1
452,600,60,1.85909,8.73338,-1
453,600,60,1.85878,8.73058,-1
454,600,60,1.85846,8.72778,-1
455,600,60,1.85815,8.72499,-1
456,600,60,1.85784,8.72219,-1
457,600,60,1.85753,8.7194,-1
458,600,60,1.85722,8.7166,-1
459,600,60,1.85691,8.7138,-1
460,600,60,1.8566,8.71101,-1
461,600,60,1.85629,8.70821,-1
462,600,60,1.85598,8.70542,-1
463,600,60,1.85567,8.70262,-1
464,600,60,1.85535,8.69982,-1
465,600,60,1.85504,8.69703,-1
466,600,60,1.85473,8.69423,-1
467,600,60,1.85442,8.69144,-1
468,600,60,1.85411,8.68864,-1
469,600,60,1.8538,8.68584,-1
470,600,60,1.85349,8.68305,-1
471,600,60,1.85318,8.68025,-1
472,600,60,1.85287,8.67745,-1
473,600,60,1.85255,8.67466,-1
474,600,60,1.85224,8.67186,-1
475,600,60,1.85193,8.66907,-1
476,600,60,1.85162,8.66627,-1
477,600,60,1.85131,8.66347,-1
478,600,60,1.851,8.66068,-1
479,600,60,1.85069,8.65788,-1
480,600,60,1.85038,8.65509,-1
481,600,60,1.85007,8.65229,-1
482,600,60,1.84975,8.64949,-1
483,600,60,1.84944,8.6467,-1
484,600,60,1.84913,8.6439,-1
485,600,60,1.84882,8.64111,-1
486,600,60,1.84851,8.63831,-1
487,600,60,1.8482,8.63551,-1
488,600,60,1.84789,8.63272,-1
489,600,60,1.84758,8.62992,-1
490,600,60,1.84727,8.62713,-1
491,600,60,1.84696,8.62433,-1
492,600,60,1.84664,8.62153,-1
493,600,60,1.84633,8.61874,-1
494,600,60,1.84602,8.61594,-1
495,600,60,1.84571,8.61314,-1
496,600,60,1.8454,8.61035,-1
497,600,60,1.84509,8.60755,-1
498,600,60,1.84478,8.60476,-1
499,600,60,1.84447,8.60196,-1
500,600,60,1.84416,8.59916,-1
501,600,60,1.84384,8.59637,-1
502,600,60,1.84353,8.59357,-1
503,600,60,1.84322,8.59078,-1
504,600,60,1.84291,8.58798,-1
505,600,60,1.8426,8.58518,-1
506,600,60,1.84229,8.58239,-1
507,600,60,1.84198,8.57959,-1
508,600,60,1.84167,8.5768,-1
509,600,60,1.84136,8.574,-1
510,600,60,1.84104,8.5712,-1
511,600,60,1.84073,8.56841,-1
512,600,60,1.84042,8.56561,-1
513,600,60,1.84011,8.56282,-1
514,600,60,1.8398,8.56002,-1
515,600,60,1.83949,8.55722,-1
516,600,60,1.83918,8.55443,-1
517,600,60,1.83887,8.55163,-1
518,600,60,1.83856,8.54884,-1
519,600,60,1.83825,8.54604,-1
520,600,60,1.83793,8.54324,-1
521,600,60,1.83762,8.54045,-1
522,600,60,1.83731,8.53765,-1
523,600,60,1.837,8.53485,-1
524,600,60,1.83669,8.53206,-1
525,600,60,1.83638,8.52926,-1
526,600,60,1.83607,8.52647,-1
527,600,60,1.83576,8.52367,-1
528,600,60,1.83545,8.52087,-1
529,600,60,1.83513,8.51808,-1
530,600,60,1.83482,8.51528,-1
531,600,60,1.83451,8.51249,-1
532,600,60,1.8342,8.50969,-1
533,600,60,1.83389,8.50689,-1
534,600,60,1.83358,8.5041,-1
535,600,60,1.83327,8.5013,-1
536,600,60,1.83296,8.49851,-1
537,600,60,1.83265,8.49571,-1
538,600,60,1.83234,8.49291,-1
539,600,60,1.83202,8.49012,-1
540,600,60,1.83171,8.48732,-1
541,600,60,1.8314,8.48453,-1
542,600,60,1.83109,8.48173,-1
543,600,60,1.83078,8.47893,-1
544,600,60,1.83047,8.47614,-1
545,600,60,1.83016,8.47334,-1
546,600,60,1.82985,8.47054,-1
547,600,60,1.82954,8.46775,-1
548,600,60,1.82922,8.46495,-1
549,600,60,1.82891,8.46216,-1
550,600,60,1.8286,8.45936,-1
551,600,60,1.82829,8.45656,-1
552,600,60,1.82798,8.45377,-1
553,600,60,1.82767,8.45097,-1
554,600,60,1.82736,8.44818,-1
555,600,60,1.82705,8.44538,-1
556,600,60,1.82674,8.44258,-1
557,600,60,1.82642,8.43979,-1
558,600,60,1.82611,8.43699,-1
