recordType,id,x,y,isGateway,energy,from,to,edgeType,nextHop,cluster,clusterRadius
node,398,315.608,454.672,0,2,,,,-2,20,-1
node,399,216.953,22.7759,0,2,,,,-2,0,-1
node,400,437.626,31.8615,0,2,,,,-2,59,-1
node,401,483.846,187.388,0,2,,,,-2,47,-1
node,402,406.426,44.8199,0,2,,,,-2,112,-1
node,403,119.435,307.95,0,2,,,,-2,6,-1
node,404,466.413,424.301,0,2,,,,-2,61,-1
node,405,101.661,224.023,0,2,,,,-2,88,-1
node,406,342.109,169.297,0,2,,,,-2,16,-1
node,407,250.288,265.281,0,2,,,,-2,19,-1
node,408,399.627,258.415,0,2,,,,-2,78,-1
node,409,398.361,51.7233,0,2,,,,-2,112,-1
node,410,10.1522,242.74,0,2,,,,-2,79,-1
node,411,425.085,307.061,0,2,,,,-2,103,-1
node,412,26.878,159.423,0,2,,,,-2,88,-1
node,413,68.4417,317.997,0,2,,,,-2,77,-1
node,414,34.1248,397.031,0,2,,,,-2,76,-1
node,415,174.79,196.122,0,2,,,,-2,31,-1
node,416,36.103,206.218,0,2,,,,-2,114,-1
node,417,361.002,261.349,0,2,,,,-2,103,-1
node,418,152.584,264.715,0,2,,,,-2,119,-1
node,419,461.418,309.754,0,2,,,,-2,95,-1
node,420,378.003,124.588,0,2,,,,-2,65,-1
node,421,198.669,384.892,0,2,,,,-2,43,-1
node,422,412.135,478.919,0,2,,,,-2,61,-1
node,423,14.3432,106.222,0,2,,,,-2,52,-1
node,424,61.0009,210.041,0,2,,,,-2,114,-1
node,425,169.671,449.565,0,2,,,,-2,43,-1
node,426,372.733,419.16,0,2,,,,-2,81,-1
node,427,302.479,50.6988,0,2,,,,-2,111,-1
node,428,238.422,460.21,0,2,,,,-2,34,-1
node,429,129.429,69.2718,0,2,,,,-2,1,-1
node,430,61.4689,86.877,0,2,,,,-2,7,-1
node,431,4.29468,91.2793,0,2,,,,-2,52,-1
node,432,58.3315,419.847,0,2,,,,-2,85,-1
node,433,242.036,186.615,0,2,,,,-2,117,-1
node,434,272.341,470.975,0,2,,,,-2,37,-1
node,435,209.029,25.7146,0,2,,,,-2,28,-1
node,436,229.61,135.719,0,2,,,,-2,12,-1
node,437,264.486,60.6673,0,2,,,,-2,4,-1
node,438,260.777,311.257,0,2,,,,-2,54,-1
node,439,344.234,231.402,0,2,,,,-2,40,-1
node,440,206.248,208.624,0,2,,,,-2,119,-1
node,441,221.977,18.4589,0,2,,,,-2,69,-1
node,442,28.5727,315.858,0,2,,,,-2,77,-1
node,443,171.037,207.634,0,2,,,,-2,105,-1
node,444,410.609,486.872,0,2,,,,-2,32,-1
node,445,460.633,146.064,0,2,,,,-2,30,-1
node,446,310.626,328.324,0,2,,,,-2,39,-1
node,447,483.584,296.889,0,2,,,,-2,2,-1
node,448,472.274,19.907,0,2,,,,-2,106,-1
node,449,100.631,285.412,0,2,,,,-2,119,-1
node,450,352.181,322.645,0,2,,,,-2,95,-1
node,451,373.26,6.19392,0,2,,,,-2,45,-1
node,452,34.0136,391.15,0,2,,,,-2,85,-1
node,453,484.285,383.619,0,2,,,,-2,82,-1
node,454,96.226,225.783,0,2,,,,-2,55,-1
node,455,198.422,467.811,0,2,,,,-2,11,-1
node,456,44.2402,356.159,0,2,,,,-2,85,-1
node,457,179.708,182.303,0,2,,,,-2,119,-1
node,458,428.473,137.384,0,2,,,,-2,75,-1
node,459,88.0083,89.6279,0,2,,,,-2,27,-1
node,460,295.457,387.453,0,2,,,,-2,50,-1
node,461,119.76,116.98,0,2,,,,-2,88,-1
node,462,98.8741,260.81,0,2,,,,-2,3,-1
node,463,163.603,251.658,0,2,,,,-2,22,-1
node,464,189.267,211.765,0,2,,,,-2,74,-1
node,465,39.3437,412.161,0,2,,,,-2,36,-1
node,466,247.817,23.593,0,2,,,,-2,104,-1
node,467,497.766,237.875,0,2,,,,-2,47,-1
node,468,202.803,347.363,0,2,,,,-2,46,-1
node,469,149.381,464.112,0,2,,,,-2,26,-1
node,470,141.318,198.889,0,2,,,,-2,74,-1
node,471,308.852,119.635,0,2,,,,-2,9,-1
node,472,492.767,139.244,0,2,,,,-2,30,-1
node,473,0.501651,237.676,0,2,,,,-2,86,-1
